package,className,lineCount,citedCount
com.oracle.net,Sdp,80,0
com.sun.awt,AWTUtilities,126,1
com.sun.awt,SecurityWarning,41,0
com.sun.beans,TypeResolver,137,3
com.sun.beans,WeakCache,25,2
com.sun.beans,WildcardTypeImpl,53,0
com.sun.beans.decoder,AccessorElementHandler,29,0
com.sun.beans.decoder,ArrayElementHandler,35,0
com.sun.beans.decoder,BooleanElementHandler,12,0
com.sun.beans.decoder,ByteElementHandler,6,0
com.sun.beans.decoder,CharElementHandler,20,0
com.sun.beans.decoder,ClassElementHandler,6,0
com.sun.beans.decoder,DocumentHandler,180,2
com.sun.beans.decoder,DoubleElementHandler,6,0
com.sun.beans.decoder,ElementHandler,83,0
com.sun.beans.decoder,FalseElementHandler,6,0
com.sun.beans.decoder,FieldElementHandler,51,0
com.sun.beans.decoder,FloatElementHandler,6,0
com.sun.beans.decoder,IntElementHandler,6,0
com.sun.beans.decoder,JavaElementHandler,45,0
com.sun.beans.decoder,LongElementHandler,6,0
com.sun.beans.decoder,MethodElementHandler,26,0
com.sun.beans.decoder,NewElementHandler,82,0
com.sun.beans.decoder,NullElementHandler,12,0
com.sun.beans.decoder,ObjectElementHandler,63,0
com.sun.beans.decoder,PropertyElementHandler,105,0
com.sun.beans.decoder,ShortElementHandler,6,0
com.sun.beans.decoder,StringElementHandler,36,0
com.sun.beans.decoder,TrueElementHandler,6,0
com.sun.beans.decoder,ValueObject,4,0
com.sun.beans.decoder,ValueObjectImpl,23,0
com.sun.beans.decoder,VarElementHandler,18,0
com.sun.beans.decoder,VoidElementHandler,6,0
com.sun.beans.editors,BooleanEditor,34,1
com.sun.beans.editors,ByteEditor,11,1
com.sun.beans.editors,ColorEditor,146,0
com.sun.beans.editors,DoubleEditor,5,1
com.sun.beans.editors,EnumEditor,83,1
com.sun.beans.editors,FloatEditor,11,1
com.sun.beans.editors,FontEditor,156,0
com.sun.beans.editors,IntegerEditor,5,1
com.sun.beans.editors,LongEditor,11,1
com.sun.beans.editors,NumberEditor,8,0
com.sun.beans.editors,ShortEditor,11,1
com.sun.beans.editors,StringEditor,40,0
com.sun.beans.finder,AbstractFinder,104,0
com.sun.beans.finder,BeanInfoFinder,53,1
com.sun.beans.finder,ClassFinder,39,4
com.sun.beans.finder,ConstructorFinder,39,2
com.sun.beans.finder,FieldFinder,32,1
com.sun.beans.finder,InstanceFinder,66,0
com.sun.beans.finder,MethodFinder,97,4
com.sun.beans.finder,PersistenceDelegateFinder,26,1
com.sun.beans.finder,PrimitiveTypeMap,19,0
com.sun.beans.finder,PrimitiveWrapperMap,28,1
com.sun.beans.finder,PropertyEditorFinder,41,1
com.sun.beans.finder,Signature,76,0
com.sun.beans.finder,SignatureException,14,0
com.sun.beans.infos,ComponentBeanInfo,25,0
com.sun.beans.util,Cache,288,3
com.sun.crypto.provider,AESCipher,216,0
com.sun.crypto.provider,AESConstants,4,0
com.sun.crypto.provider,AESCrypt,511,0
com.sun.crypto.provider,AESKeyGenerator,34,0
com.sun.crypto.provider,AESParameters,38,0
com.sun.crypto.provider,AESWrapCipher,211,0
com.sun.crypto.provider,ai,9,0
com.sun.crypto.provider,ARCFOURCipher,148,0
com.sun.crypto.provider,BlockCipherParamsCore,67,0
com.sun.crypto.provider,BlowfishCipher,79,0
com.sun.crypto.provider,BlowfishConstants,4,0
com.sun.crypto.provider,BlowfishCrypt,419,0
com.sun.crypto.provider,BlowfishKeyGenerator,34,0
com.sun.crypto.provider,BlowfishParameters,39,0
com.sun.crypto.provider,CipherBlockChaining,64,0
com.sun.crypto.provider,CipherCore,614,0
com.sun.crypto.provider,CipherFeedback,132,0
com.sun.crypto.provider,CipherTextStealing,97,0
com.sun.crypto.provider,CipherWithWrappingSpi,111,0
com.sun.crypto.provider,ConstructKeys,101,0
com.sun.crypto.provider,CounterMode,69,0
com.sun.crypto.provider,DESCipher,83,0
com.sun.crypto.provider,DESConstants,3,0
com.sun.crypto.provider,DESCrypt,958,0
com.sun.crypto.provider,DESedeCipher,83,0
com.sun.crypto.provider,DESedeCrypt,73,0
com.sun.crypto.provider,DESedeKey,70,0
com.sun.crypto.provider,DESedeKeyFactory,60,0
com.sun.crypto.provider,DESedeKeyGenerator,51,0
com.sun.crypto.provider,DESedeParameters,38,0
com.sun.crypto.provider,DESedeWrapCipher,239,0
com.sun.crypto.provider,DESKey,66,0
com.sun.crypto.provider,DESKeyFactory,60,0
com.sun.crypto.provider,DESKeyGenerator,46,0
com.sun.crypto.provider,DESParameters,38,0
com.sun.crypto.provider,DHKeyAgreement,177,0
com.sun.crypto.provider,DHKeyFactory,107,0
com.sun.crypto.provider,DHKeyPairGenerator,73,0
com.sun.crypto.provider,DHParameterGenerator,77,0
com.sun.crypto.provider,DHParameters,76,0
com.sun.crypto.provider,DHPrivateKey,152,0
com.sun.crypto.provider,DHPublicKey,159,0
com.sun.crypto.provider,ElectronicCodeBook,35,0
com.sun.crypto.provider,EncryptedPrivateKeyInfo,45,0
com.sun.crypto.provider,FeedbackCipher,45,0
com.sun.crypto.provider,GaloisCounterMode,291,0
com.sun.crypto.provider,GCMParameters,75,0
com.sun.crypto.provider,GCTR,68,0
com.sun.crypto.provider,GHASH,91,0
com.sun.crypto.provider,HmacCore,117,0
com.sun.crypto.provider,HmacMD5,5,0
com.sun.crypto.provider,HmacMD5KeyGenerator,28,0
com.sun.crypto.provider,HmacPKCS12PBESHA1,69,0
com.sun.crypto.provider,HmacSHA1,5,0
com.sun.crypto.provider,HmacSHA1KeyGenerator,28,0
com.sun.crypto.provider,ISO10126Padding,42,0
com.sun.crypto.provider,JceKeyStore,421,0
com.sun.crypto.provider,KeyGeneratorCore,121,0
com.sun.crypto.provider,KeyProtector,185,0
com.sun.crypto.provider,CipherForKeyProtector,7,0
com.sun.crypto.provider,OAEPParameters,177,0
com.sun.crypto.provider,OutputFeedback,90,0
com.sun.crypto.provider,Padding,5,0
com.sun.crypto.provider,PBECipherCore,213,0
com.sun.crypto.provider,PBEKey,74,0
com.sun.crypto.provider,PBEKeyFactory,181,0
com.sun.crypto.provider,PBEParameters,76,0
com.sun.crypto.provider,PBES1Core,213,0
com.sun.crypto.provider,PBES2Core,309,0
com.sun.crypto.provider,PBES2Parameters,348,0
com.sun.crypto.provider,PBEWithMD5AndDESCipher,95,0
com.sun.crypto.provider,PBEWithMD5AndTripleDESCipher,96,0
com.sun.crypto.provider,PBKDF2Core,86,0
com.sun.crypto.provider,PBKDF2HmacSHA1Factory,59,0
com.sun.crypto.provider,PBKDF2KeyImpl,177,0
com.sun.crypto.provider,PBMAC1Core,137,0
